,cast,genres,movie_id,original_title,overview
3106,"['Minnie Driver', 'Mary McCormack', 'Kevin McNally']","['Action', 'Crime', 'Comedy']",10034,high heels and low lifes,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.
3107,"['Robin Williams', 'Alexie Gilmore', 'Daryl Sabara']","['Comedy', 'Romance']",20178,world's greatest dad,"Robin Williams stars as Lance Clayton, a man who has learned to settle. He dreamed of being a rich and famous writer, but has only managed to make it as a high school poetry teacher. His only son Kyle (Daryl Sabara) is an insufferable jackass who won’t give his father the time of day. He is dating Claire (Alexie Gilmore), the school’s adorable art teacher, but she doesn’t want to get serious --"
3108,"['Danny Dyer', 'Laura Harris', 'Toby Stephens']","['Horror', 'Comedy', 'Thriller']",5072,severance,"Members (Danny Dyer, Laura Harris, Tim McInnerny) of the Palisades Defense Corp. sales group arrive in Europe for a team-building exercise. A fallen tree blocks the route, and they must hike to their destination. However, a psychotic killer lurks in the woods, and he has a horrible fate in mind for each of the co-workers."
3109,"['William H. Macy', 'Joe Mantegna', 'Denise Richards']","['Drama', 'Thriller']",18191,edmond,"Seemingly mild-mannered businessman Edmond Burke visits a fortuneteller and hears a remark that spurs him to leave his wife abruptly and seek what is missing from his life. Encounters with strangers and unsavory people weaken the barriers encompassing his long-suppressed rage, until Edmond explodes in violence."
3110,"['Kristen Stewart', 'James Gandolfini', 'Melissa Leo']",['Drama'],31007,welcome to the rileys,"Years after their teenage daughter’s death, Lois and Doug Riley, an upstanding Indiana couple, are frozen by estranging grief. Doug escapes to New Orleans on a business trip. Compelled by urgencies he doesn’t understand, he insinuates himself into the life of an underage hooker, becoming her platonic guardian."
3111,"['George Gaynes', 'G. W. Bailey', 'Leslie Easterbrook']","['Comedy', 'Crime']",11546,police academy: mission to moscow,"The Russians need help in dealing with the Mafia and so they seek help with the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing."
3112,"['Natalie Alyn Lind', 'Michael Rooker', 'Emily Alyn Lind']","['Drama', 'Crime']",41894,blood done sign my name,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.
3113,"['Christian Vazquez', 'Liz Gallardo', 'Angélica Aragón']","['War', 'History', 'Drama']",184374,cinco de mayo: la batalla,"On May 5th, 1862, a few thousand Mexican soldiers put their lives on the line against the world's largest and most powerful army in one legendary battle for freedom and for Mexico."
3114,"['Shirley MacLaine', 'Christopher Plummer', 'Chris Noth']","['Comedy', 'Family', 'Romance']",268171,elsa & fred,"Aged, embittered widower, Fred learns to enjoy life thanks to his elderly yet vibrant neighbor, Elsa. Upon learning Elsa is terminally ill, Fred takes her to the Fontana di Trevi in Rome in order to reenact her favorite scene from ‘La Dolce Vita’."
3115,"['Jackie Chan', 'Sylvester Stallone', 'Whoopi Goldberg']",['Comedy'],78149,"an alan smithee film: burn, hollywood, burn","Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad, big budget action film which he proceeds to steal the reels and leave the cast and crew in a frenzy."
3116,"['Justin Timberlake', 'Jeff Bridges', 'Kate Mara']","['Comedy', 'Drama', 'Romance']",24663,the open road,"Minor leaguer Carlton Garret takes an unexpected road trip to track down his estranged father, legendary baseball player Kyle Garret when Carlton’s mother becomes sick. Once reunited, Carlton struggles to deal with the series of misadventures caused by his father’s antics. Attempts at bonding come to a head as the mismatched duo make their way from Ohio back home to Houston to reunite the family."
3117,"['Alexis Bledel', 'Colin Egglesfield', 'Anna Chlumsky']","['Comedy', 'Romance']",39037,the good guy,"Ambitious young Manhattanite and urban conservationist Beth (Bledel) wants it all: a good job, good friends, and a good guy to share the city with. Of course that last one is often the trickiest of all. Beth falls hard for Tommy (Porter), a sexy, young Wall Street hot-shot. But just as everything seems to be falling into place, complications arise in the form of Tommy's sensitive and handsome co-worker Daniel (Greenberg). Beth soon learns that the game of love in the big city is a lot like Wall Street -- high risk, high reward and everybody has an angle."
3118,"['Uma Thurman', 'Minnie Driver', 'Anthony Edwards']","['Comedy', 'Drama']",22805,motherhood,"Motherhood is a comedy written and directed by Katherine Dieckmann, and stars Uma Thurman, Anthony Edwards and Minnie Driver. Shot on location in New York’s West Village, focuses on the dilemmas of motherhood, such as marriage, work, and self, shown in the trials and tribulations of one pivotal day."
3119,"['Corbin Bleu', 'Sandra Echeverría', 'Madison Pettis']","['Drama', 'Family']",39055,free style,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream."
3120,"['Nicole Kidman', 'Joseph Fiennes', 'Hugo Weaving']","['Drama', 'Thriller']",245846,strangerland,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish."
3121,"['Ice Cube', 'Mike Epps', 'Young Jeezy']",['Comedy'],25186,janky promoters,Two shady concert promoters get into hot water when their chance to book a superstar rapper goes awry.
3122,"['Jessica Simpson', 'Luke Wilson', 'Rachael Leigh Cook']","['Comedy', 'Romance']",15017,blonde ambition,A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.
3123,"['Elijah Wood', 'John Hurt', 'Leonor Watling']","['Crime', 'Mystery', 'Thriller']",12245,the oxford murders,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols"
3124,"['Adrienne Pickering', 'Zoe Naylor', 'Gyton Grantley']","['Drama', 'Horror', 'Thriller']",49787,the reef,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.
3125,"['Hank Azaria', 'Jesse Bradford', 'Zooey Deschanel']","['Comedy', 'Drama']",16358,eulogy,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships."
3126,"['Nathan Fillion', 'Katee Sackhoff', 'Craig Fairbrass']","['Thriller', 'Drama', 'Horror']",7006,white noise 2: the light,"A man's family brought back from the verge of death, he then discovers he can identify people who are about to die."
3127,"['Tyrone Brown', 'Mishael Morgan', 'Nikki Grant']","['Music', 'Drama']",66767,beat the world,"Three dance crews – one Latin American, one European and one Canadian – prepare to battle at the International Beat the World competition in Detroit. Along the way, they struggle with gambling debt, bad break-ups and their own egos. In the final showdown to become world champions they find that their lifelong hopes, dreams and even lives, are at stake."
3128,"['Ben Kingsley', 'Jim Sturgess', 'Kevin Zegers']","['Action', 'Thriller']",17622,fifty dead men walking,"Based on Martin McGartland's real life story as a informant for the British Police to spy on the IRA. Taking place from 1987-1991, Martin (Jim Sturgess) works his way up the ranks of the IRA, while keeping his informant with the police Fergis (Ben Kingsley) at bay. In the process he saved numerous lives and is still in hiding from the IRA today."
3129,"['Drake Bell', 'Rob Schneider', 'Brianne Siddall']","['Family', 'Animation', 'Adventure']",283671,jungle shuffle,In this turbulent jungle adventure an outcast coati male has to team up with a quirky spider monkey to save a coati princess from the hands of a human poacher and his mysterious client.
3130,"['Jeff Goldblum', 'Willem Dafoe', 'Derek Jacobi']","['Drama', 'War']",18516,adam resurrected,"Before the war, in Berlin, Adam was an entertainer- cabaret impresario, magician, musician-loved by all until he finds himself in a concentration camp, confronted by Commandant Klein. Adam survives the camp by becoming the Klein's ""dog"", entertaining him while his wife and daughter are sent off to die. ""Adam Resurrected"" is the story of a man who once was a dog who meets a dog who once was a boy."
3131,"['Ingvar Eggert Sigurðsson', 'Charlotte Bøving', 'Steinn Ármann Magnússon']","['Drama', 'Romance', 'Comedy']",217708,hross í oss,A country romance about the human streak in the horse and the horse in the human. Love and death become interlaced and with terrible consequences.The fortunes of the people in the country through the horses' perception.
3132,"['Shabana Azmi', 'Goldy Notay', 'Sendhil Ramamurthy']","['Comedy', 'Romance']",42057,hai marjawaan!,"Indian mother Mrs Sethi's (Azmi) obsession with marrying off her daughter turns murderous. With jokes that routinely miss the mark and cringeworthy slapstick, this black comedy farce shouldn't work. Somehow, though, it does. (c) Empire Magazine"
3133,"['Cuba Gooding Jr.', 'Ray Winstone', 'Ron Perlman']","['Action', 'Horror', 'Thriller']",17577,the devil's tomb,"Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed."
3134,"['Kristin Kreuk', 'Jimi Mistry', 'Neve Campbell']","['Drama', 'Foreign', 'Romance']",14608,partition,"Determined to leave the ravages of war behind, 38 year old Gian Singh resigns from the British Indian Army to a quiet life. His world is soon thrown in turmoil, when he suddenly finds himself responsible for the life of a 17 year old girl, traumatized by the events that separated her from her family."
3135,"['Luke Perry', 'LeAnn Rimes', 'Jimmi Simpson']",['Comedy'],34417,good intentions,"Meet Etta Milford. Loving Wife. Doting Mother. Armed Robber. Etta's husband constantly blows their money on make-shift inventions. When she decides to secretly take ""investment"" matters into her own hands - things quickly go awry! With their savings gone, her husband suspicious, and their children out of control, Etta concocts a scheme to get back their money and save her family."
3136,"['Song Kang-ho', 'Lee Byung-hun', 'Jung Woo-sung']","['Action', 'Adventure', 'Comedy']",15067,"좋은 놈, 나쁜 놈, 이상한 놈","The story of three Korean outlaws in 1930s Manchuria and their dealings with the Japanese army and Chinese and Russian bandits. The Good (a Bounty hunter), the Bad (a hitman), and the Weird (a thief) battle the army and the bandits in a race to use a treasure map to uncover the riches of legend."
3137,"['Paz de la Huerta', 'Katrina Bowden', 'Kathleen Turner']","['Horror', 'Thriller']",78383,nurse 3-d,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men."
3138,"['Sienna Guillory', 'Tyler Mane', 'Callum Keith Rennie']","['Drama', 'Action', 'Comedy']",43090,gunless,"A quiet and peaceful community in the Dominion of Canada is shaken up by the arrival of a wounded and stinky gun-toting American cowboy, simply known as The Montana Kid, wanted for the alleged killing of seven men. A subsequent clarification reveals that his real name is Sean Rafferty, and he admits to killing, not seven, but eleven men. Things only get worse after Sean gets in the bad books of the local militia, and with armed bounty hunters hot on his trail, challenges the local unarmed blacksmith, Jack Smith, to a duel - wild west style! Written by rAjOo"
3139,"['Jesse Eisenberg', 'Kristen Stewart', 'Martin Starr']",['Comedy'],16614,adventureland,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world."
3140,"['Andy García', 'Richard Bradford', 'Nestor Carbonell']","['Drama', 'Romance']",9700,the lost city,"In Havana, Cuba in the late 1950's, a wealthy family, one of whose sons is a prominent nightclub owner, is caught in the violent transition from the oppressive regime of Batista to the Marxist government of Fidel Castro. Castro's regime ultimately leads the nightclub owner to flee to New York."
3141,"['Ice Cube', 'Mike Epps', 'Justin Pierce']",['Comedy'],10471,next friday,"Ice Cube returns as Craig Jones, a streetwise man from South Central Los Angeles who has a knack for getting into trouble. This time out, Craig is still trying to outsmart neighborhood bully Debo (Tommy ""Tiny"" Lister Jr.); after Craig gets the better of Debo in a fist fight, Debo is determined to flatten Craig in a rematch. Looking to stay out of Debo's way, Craig's dad decides that it would be a good idea for Craig to hide out with his Uncle Elroy and cousin Day-Day in Rancho Cucamonga... but trouble seems to find him there also."
3142,"['Hayden Christensen', 'Adrien Brody', 'Jordana Brewster']",['Action'],250066,american heist,"Two brothers, both with troubled paths, find themselves in the middle of one last bank job."
3143,"['Sean Connery', 'Akiko Wakabayashi', 'Karin Dor']","['Action', 'Thriller', 'Adventure']",667,you only live twice,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.
3144,"['Ed Speleers', 'Will Poulter', 'Alfie Allen']","['Drama', 'Action', 'Comedy']",208869,plastic,"Sam &amp; Fordy run a credit card fraud scheme, but when they steal from the wrong man, they find themselves threatened by sadistic gangster. They need to raise £5m and pull off a daring diamond heist to clear their debt."
3145,"['Emmanuelle Riva', 'Jean-Louis Trintignant', 'Isabelle Huppert']","['Drama', 'Romance']",86837,amour,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
3146,"['Tom Skerritt', 'Nancy Allen', ""Heather O'Rourke""]","['Horror', 'Thriller']",10306,poltergeist iii,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?"
3147,"['Roger Cross', 'Scott Adkins', 'Daniella Alonso']","['Horror', 'Science Fiction']",106845,re-kill,"Five years after a zombie outbreak, the men and women of R-Division hunt down and destroy the undead. When they see signs of a second outbreak, they fear humanity may not survive."
3148,"['Spencer Tracy', 'Milton Berle', 'Sid Caesar']","['Action', 'Adventure', 'Comedy']",11576,"it's a mad, mad, mad, mad world","A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself."
3149,"['Penélope Cruz', 'Carmen Maura', 'Lola Dueñas']","['Comedy', 'Drama', 'Romance']",219,volver,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them."
3150,"['Rodger Bumpass', 'Jackie Burroughs', 'Joe Flaherty']","['Animation', 'Science Fiction']",11827,heavy metal,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror."
3151,"['Michael Angarano', 'Sam Rockwell', 'Clive Revill']","['Action', 'Comedy', 'Thriller']",22820,gentlemen broncos,A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.
3152,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent']","['Drama', 'War']",31174,richard iii,Shakespeare's Play transplanted into a 1930s setting.
3153,"['James Marsden', 'Thomas Jane', 'Piper Perabo']","['Action', 'Horror', 'Thriller']",244316,into the grizzly maze,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.
3154,"['Hrithik Roshan', 'Bárbara Mori', 'Kabir Bedi']","['Drama', 'Action', 'Romance']",37737,kites,"In the harsh terrain of the Mexican desert, a mortally wounded man is left for dead in the heat of the desert sun. This is Jay. Once a street smart, carefree young guy. Now, a wanted man. As death looms, the only thing that keeps him alive is the quest to find the love of his life, Natasha. A woman betrothed to another man, but surely destined for Jay. A woman who comes into his life like a bolt of lightning and changes it forever."
3155,"['Kirsten Dunst', 'Charlotte Gainsbourg', 'Kiefer Sutherland']","['Drama', 'Science Fiction']",62215,melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.
3156,"['Josh Lucas', 'Rachael Taylor', 'Rohan Nichol']","['Drama', 'Comedy', 'Family']",66125,red dog,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.
3157,"['Shah Rukh Khan', 'Katrina Kaif', 'Anushka Sharma']","['Drama', 'Romance']",132316,jab tak hai jaan,"An ex-army man, leading a double life in London, must choose between his wife and muse.  Jab Tak Hai Jaan movie is a love triangle,and also marks the return of Yash Chopra as a director after eight years.  In Jab Tak Hai Jaan, Shahrukh Khan plays the character of Samar who is an angry, unforgiving, with loads of emotional baggage. His role will span two ages, one in his late twenties as a musician based in London and the other at an older age as an introverted, composed, dutiful army officer in Kashmir.  Katrina as Meera play as a seductress, an unattainable beauty. And Anushka as Akira who is 21 year old and works for Discovery Channel and makes documentaries."
3158,"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright']","['Horror', 'Action', 'Thriller']",348,alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
3159,"['Marilyn Burns', 'Allen Danziger', 'Paul A. Partain']",['Horror'],30497,the texas chain saw massacre,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.
3160,"['Dakota Fanning', 'Kristen Stewart', 'Michael Shannon']","['Drama', 'Music']",27586,the runaways,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for the Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengalilike influence of impresario Kim Fowley, the band becomes a huge success."
3161,"['Chaim Topol', 'Norma Crane', 'Leonard Frey']","['Drama', 'Romance']",14811,fiddler on the roof,"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards."
3162,"['Sean Connery', 'Claudine Auger', 'Adolfo Celi']","['Adventure', 'Action', 'Thriller']",660,thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.
3163,"['Shanley Caswell', 'Josh Hutcherson', 'Spencer Locke']","['Horror', 'Comedy', 'Science Fiction']",68684,detention,"As a killer named Cinderhella stalks the student body at the high school in Grizzly Lake, a group of co-eds band together to survive while they're all serving detention."
3164,"['Nicole Grimaudo', 'Riccardo Scamarcio', 'Alessandro Preziosi']","['Comedy', 'Drama', 'Romance']",40794,mine vaganti,"Tommaso is the youngest son of the Cantones, a large, traditional southern Italian family operating a pasta-making business since the 1960s. On a trip home from Rome, where he studies literature and lives with his boyfriend, Tommaso decides to tell his parents the truth about himself. But when he is finally ready to come out in front of the entire family, his older brother Antonio ruins his plans."
3165,"['Jada Pinkett Smith', 'Queen Latifah', 'Vivica A. Fox']","['Drama', 'Action', 'Crime']",9400,set it off,"Four black women, all of whom have suffered for lack of money and at the hands of the majority, undertake to rob banks. While initially successful, a policeman who was involved in shooting one of the women's brothers is on their trail. As the women add to the loot, their tastes and interests begin to change and their suspicions of each other increase on the way to a climactic robbery."
3166,"['Nia Long', 'Morris Chestnut', 'Harold Perrineau']","['Drama', 'Comedy']",16162,the best man,"Harper, a writer who's about to explode into the mainstream leaves behind his girlfriend Robin and heads to New York City to serve as best man for his friend Lance's wedding. Once there, he reunites with the rest of his college circle."
3167,"['Catherine Hicks', 'Chris Sarandon', 'Alex Vincent']","['Horror', 'Thriller']",10585,child's play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer."
3168,"['Michael Moore', 'George W. Bush', 'Bill Clinton']",['Documentary'],2359,sicko,"Sicko is a Michael Moore documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing peoples lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America."
3169,"['Frank Grillo', 'Carmen Ejogo', 'Zach Gilford']","['Horror', 'Thriller']",238636,the purge: anarchy,"Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs."
3170,"['Freddie Prinze Jr.', 'Julia Stiles', 'Selma Blair']","['Comedy', 'Drama', 'Family']",10472,down to you,"College coeds in New York City, Al, the son of a celebrity chef, and Imogen, a talented artist, become smitten the second they lay eyes on one another at a bar. However, the road to happiness is not a smooth one. Outside forces, including a predatory porn star who wants to lure Al into her bed, threaten to pull apart the young lovers before their romance has a chance to really flourish."
3171,"['John Cho', 'Kal Penn', 'Paula Garcés']","['Comedy', 'Adventure']",11282,harold & kumar go to white castle,"Sometimes, it takes a strange night to put everything else into focus. And that's exactly what happens to Harold and his roommate, Kumar, when they set out to get the best stoner fix money can buy: White Castle hamburgers. Both guys are at a crossroads, about to make major decisions that will affect the course of their lives. Yet they arrive at wisdom by accident as they drive around New Jersey in search of fast food."
3172,"['Gary Oldman', 'Joan Allen', 'Jeff Bridges']","['Drama', 'Thriller']",6521,the contender,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations."
3173,"['Giovanni Ribisi', 'Vin Diesel', 'Nia Long']","['Crime', 'Drama', 'Thriller']",14181,boiler room,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds."
3174,"['Eddie Murphy', 'Dan Aykroyd', 'Jamie Lee Curtis']",['Comedy'],1621,trading places,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.
3175,"['Katie Cassidy', 'Michelle Trachtenberg', 'Kristen Cloke']","['Horror', 'Thriller']",9656,black christmas,"An escaped maniac returns to his childhood home on Christmas Eve, which is now a sorority house, and begins to murder the sorority sisters one by one. A remake of the 1974 horror movie, Black Christmas (1974)."
3176,"['Jamie Foxx', 'Morris Chestnut', 'Jennifer Esposito']","['Comedy', 'Romance']",16428,breakin' all the rules,"Inspired by his fiancée (who dumped him), a man publishes a break-up handbook for men, becoming a bestselling author in the process."
3177,"['Kenneth Branagh', 'Derek Jacobi', 'Brian Blessed']","['War', 'Drama', 'History']",10705,henry v,Gritty adaption of William Shakespeare's play about the English King's bloody conquest of France.
3178,"['Laura Linney', 'Philip Seymour Hoffman', 'Philip Bosco']",['Drama'],8272,the savages,A sister and brother face the realities of familial responsibility as they begin to care for their ailing father.
3179,"['Roselyn Sánchez', 'Sofía Vergara', 'Jaci Velasquez']","['Comedy', 'Romance']",24621,chasing papi,"Playboy Thomas Fuentes has so far been able to skate by in life on good looks and charm alone. But when his duplicitous relationships with three women -- impassioned waitress Cici, meticulous lawyer Lorena and bored socialite Patricia -- spiral out of control, he suffers a mental breakdown. His doctor recommends that he choose just one girlfriend -- but can he choose in time before they discover his deception?"
3180,"['Benicio del Toro', 'Ryan Phillippe', 'Juliette Lewis']","['Action', 'Crime', 'Drama']",1619,the way of the gun,"Parker and Longbaugh are a pair of low-level petty criminals, living off the grid and funding their existence through unconventional and often illegal means. Wanting to move past petty crime, they vow to get the proverbial ""big score."
3181,"['Kieran Culkin', 'Claire Danes', 'Jeff Goldblum']","['Comedy', 'Drama']",9685,igby goes down,A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.
3182,"['Jeremy Piven', 'Chris Young', 'David Spade']",['Comedy'],14425,pcu,"Nervous high school senior Tom Lawrence visits Port Chester University, where he gets a taste of politically correct college life when he's guided by fraternity wild man Droz and his housemates at The Pit. But Droz and his pals have rivals in nasty preppy Rand McPherson and the school's steely president. With their house threatened with expulsion, Droz and company decide to throw a raging party where the various factions will collide."
3183,"['James Garner', 'Drew Fuller', 'Abigail Breslin']","['Romance', 'Drama', 'Family']",14624,the ultimate gift,"When his wealthy grandfather finally dies, Jason Stevens fully expects to benefit when it comes to the reading of the will. But instead of a sizable inheritance, Jason receives a test, a series of tasks he must complete before he can get any money."
3184,"['Robert Urich', 'Mary Crosby', 'Michael D. Roberts']","['Action', 'Science Fiction', 'Comedy']",10179,the ice pirates,"The time is the distant future, where by far the most precious commodity in the galaxy is water. The last surviving water planet was somehow removed to the unreachable centre of the galaxy at the end of the galactic trade wars. The galaxy is ruled by an evil emperor (John Carradine) presiding over a trade oligarchy that controls all mining and sale of ice from asteroids and comets."
3185,"['Jesse Lee Soffer', 'Christopher Shand', 'Carly Schroeder']",['Drama'],15568,gracie,"This is the story of a teenager named Gracie Bowen, who lives in South Orange, New Jersey, is crazy about soccer, as are her three brothers and former soccer star father. Although Gracie wants to join her brothers and father in the nightly practices, she is discouraged by everyone except her elder brother, Johnny. Her father does not believe that girls should play soccer and tells her that she is neither tough enough nor talented enough to play with the boys team. Undeterred, Gracie finds reserves of strength she never knew existed, and persists in changing everyone's beliefs in what she is capable of, including her own. She faces an uphill battle when she fights to give women the opportunity to play competitive soccer. But as the beautiful and strong person that she has always been but she also brings her family together in the face of their own tragedy."
3186,"['David Duchovny', 'Julianne Moore', 'Billy Crudup']","['Comedy', 'Drama', 'Romance']",14057,trust the man,"Overachieving actress, Rebecca (Moore), must come to grips with her failing marriage to stay-at-home dad, Tom (Duchovny). While Rebecca's slacker brother, Tobey (Billy Crudup), can't seem to commit to his aspiring-novelist girlfriend, Elaine (Maggie Gyllenhaal). As both relationships spin out of control, the two couples embark on a quest to rediscover the magic and romance of falling in love in New York."
3187,"['Steve Coogan', 'Catherine Keener', 'Joseph Julian Soria']","['Comedy', 'Music']",12621,hamlet 2,"From the same people that brought you ""Little Miss Sunshine,"" Hamlet 2 is the story of Dana Marschz, a high school drama teacher facing the cancellation of his program. A spoof on the typical story of bringing inner city and privileged youth together to succeed, this offbeat comedy contains a hilarious musical finale."
3188,"['Ewan McGregor', 'Christian Bale', 'Jonathan Rhys Meyers']","['Drama', 'Music']",1808,velvet goldmine,"Almost a decade has elapsed since Bowie esque glam superstar Brian Slade staged his own death and escaped the spotlight of the London scene.  Now, investigative journalist Arthur Stuart is on assignment to uncover the truth of the enigmatic Slade's rise and fall.  Stuart, himself forged by the music of the 1970s, explores the larger-than-life stars who were once his idols and what has become of them since the turn of the new decade."
3189,"['Kwak Do-won', 'Hwang Jung-min', 'Chun Woo-hee']","['Horror', 'Mystery']",293670,곡성,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.
3190,"['Dianna Agron', 'Lea Michele', 'Gwyneth Paltrow']","['Documentary', 'Music', 'Family']",67675,glee: the concert movie,"A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them."
3191,"['M.L. Piyapas Bhirombhakdi', 'Sarunyu Wongkrachang', 'Chatchai Plengpanich']","['Drama', 'Foreign', 'History']",27329,สุริโยไท,"During the 16th century, as Thailand contends with both a civil war and Burmese invasion, a beautiful princess rises up to help protect the glory of the Kingdom of Ayothaya. Based on the life of Queen Suriyothai."
3192,"['Adrienne Barbeau', 'Harvey Keitel', 'Ramy Zada']","['Horror', 'Thriller']",29514,due occhi diabolici,"Two horror segments based on Edgar Allan Poe stories set in and around the city of Pittsburgh. ""The Facts in the Case of M. Valdemar"" concerns a cheating wife who is trying to scam her dying husband out of millions by having her doctor/hypnotist lover hypnotize the geezer into signing his dough over to her. The old man dies while under hypnosis and is stuck in the limbo between the here and the hereafter. The door to the physical world is opened and the undead attempt to enter it. ""Black Cat"" is the story of Rodd Usher, an alcoholic photographer/artist, who descends into madness after he kills a stray cat that his live-in girlfriend Annabelle brings home. One murder leads to another, and the complex cover-ups begin."
3193,"['Lambert Wilson', 'Franck Dubosc', 'Florence Foresti']",['Comedy'],250349,barbecue,"On his 50th birthday, a man who's been watching his weight, health and temper all his life suffers a heart attack. He's been doing everything he was told he should do and it still didn't help. He decides to turn the page and let loose."
3194,"['James Corden', 'Timothy Spall', 'Ruth Sheen']","['Comedy', 'Drama']",12454,all or nothing,"Penny's love for her partner, taxi-driver Phil, has run dry. He is a gentle, philosophical guy, and she works on the checkout at a supermarket..."
3195,"[""Q'orianka Kilcher"", 'Barry Pepper', 'Will Patton']",['Drama'],39806,princess kaiulani,"Lush scenery and gorgeous photography highlight this bio of Princess Kaiulani (Q'Orianka Kilcher), a 19th-century Hawaiian princess raised in England but determined to maintain her people's independence from aggressive American businessmen. After being sent to England as a child by her Scottish father, Kaiulani returns to Hawaii and becomes a political activist who fights to retain her throne, even though she must leave her English paramour."
